TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES"
"Dagger with inward curls in brass","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant, bright, and unobtrusive.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Free shipping!  Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric,copper","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,brass",https://i.etsystatic.com/10630809/r/il/e262b9/738519486/il_fullxfull.738519486_fwob.jpg,https://i.etsystatic.com/10630809/r/il/db5616/738519482/il_fullxfull.738519482_5iu1.jpg,https://i.etsystatic.com/10630809/r/il/b46b03/738519478/il_fullxfull.738519478_3h46.jpg,,,,,,,
"Mini clef in all stainless","These were inspired by Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  This is an elegant and light unisex piece.

Fully adjustable.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",48,USD,1,"Jewelry,Necklace,mechanical,industrial,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,hypoallergenic,asymmetric","Metal,steel,black steel,circlip,rubber,magic,a lifetime of practice,dedication,a love of sustainability,nail,stainless steel",https://i.etsystatic.com/10630809/r/il/ecda77/885342341/il_fullxfull.885342341_d84g.jpg,https://i.etsystatic.com/10630809/r/il/0461b2/885576084/il_fullxfull.885576084_5ygk.jpg,,,,,,,,
"Mandala knot in stainless","These were inspired by Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  This is an elegant and dark unisex piece.

Fully adjustable.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",68,USD,1,"Jewelry,Necklace,mechanical,industrial,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,hypoallergenic,symmetric","Metal,steel,black steel,circlip,rubber,magic,a lifetime of practice,dedication,a love of sustainability,nail,stainless steel",https://i.etsystatic.com/10630809/r/il/aedd1f/885573100/il_fullxfull.885573100_rkas.jpg,https://i.etsystatic.com/10630809/r/il/cf18b4/885573000/il_fullxfull.885573000_5sm4.jpg,,,,,,,,
"Straight clef in all copper","These were inspired by Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  This is an elegant and dark unisex piece.

Fully adjustable.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",48,USD,1,"Jewelry,Necklace,mechanical,industrial,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,hypoallergenic,asymmetric,copper","Metal,steel,black steel,circlip,rubber,magic,a lifetime of practice,dedication,a love of sustainability,nail,stainless steel,copper",https://i.etsystatic.com/10630809/r/il/f9b5d4/885570346/il_fullxfull.885570346_rnlo.jpg,https://i.etsystatic.com/10630809/r/il/a58a44/885570428/il_fullxfull.885570428_90da.jpg,,,,,,,,
"Solar form in stainless","These were inspired by Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  This is an elegant and dark unisex piece.

Fully adjustable.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Necklace,mechanical,industrial,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,hypoallergenic,symmetric","Metal,steel,rubber,magic,a lifetime of practice,dedication,a love of sustainability,nail,stainless steel",https://i.etsystatic.com/10630809/r/il/2cff3c/885572656/il_fullxfull.885572656_tf2o.jpg,https://i.etsystatic.com/10630809/r/il/b3fd80/885571706/il_fullxfull.885571706_36lg.jpg,https://i.etsystatic.com/10630809/r/il/a3c805/885328643/il_fullxfull.885328643_q8ov.jpg,,,,,,,
"Venus in black and copper","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant and present but not obtrusive.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,venus,copper","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability",https://i.etsystatic.com/10630809/r/il/289160/720158033/il_fullxfull.720158033_drn8.jpg,https://i.etsystatic.com/10630809/r/il/958b4f/720158151/il_fullxfull.720158151_o8bp.jpg,https://i.etsystatic.com/10630809/r/il/0c1ff7/720030706/il_fullxfull.720030706_gdm9.jpg,,,,,,,
"Daggers in black with stainless centers","These were inspired by the Clef, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant and dark.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Free shipping!  Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic","Metal,black steel,circlip,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,cotter pin,Stainless Steel",https://i.etsystatic.com/10630809/r/il/5687af/738649911/il_fullxfull.738649911_bvfv.jpg,https://i.etsystatic.com/10630809/r/il/315bea/738649913/il_fullxfull.738649913_kbsh.jpg,https://i.etsystatic.com/10630809/r/il/aeacb3/738522150/il_fullxfull.738522150_csnu.jpg,,,,,,,
"Venus with copper center","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant and present but not obtrusive.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,venus,copper","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,venus",https://i.etsystatic.com/10630809/r/il/30571e/738515204/il_fullxfull.738515204_gbuy.jpg,https://i.etsystatic.com/10630809/r/il/2469af/738642871/il_fullxfull.738642871_krj2.jpg,https://i.etsystatic.com/10630809/r/il/12c3d4/738642885/il_fullxfull.738642885_o5ms.jpg,,,,,,,
"Dagger in black","These were inspired by the Clef, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant and dark.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric","Metal,steel,black steel,circlip,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,cotter pin,rust",https://i.etsystatic.com/10630809/r/il/e8f9f2/738644413/il_fullxfull.738644413_feyq.jpg,https://i.etsystatic.com/10630809/r/il/14e271/738516674/il_fullxfull.738516674_s78v.jpg,https://i.etsystatic.com/10630809/r/il/57a9b4/738644421/il_fullxfull.738644421_ofhk.jpg,,,,,,,
"inverted Venus with brass curls","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant, bright, and complex.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric,curls","Metal,steel,black steel,circlip,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,brass,cotterpin",https://i.etsystatic.com/10630809/r/il/060cb6/722624152/il_fullxfull.722624152_ez58.jpg,https://i.etsystatic.com/10630809/r/il/d06e8c/722752417/il_fullxfull.722752417_s0x2.jpg,https://i.etsystatic.com/10630809/r/il/9b5794/722624490/il_fullxfull.722624490_ic87.jpg,,,,,,,
"Straight clef in black and copper","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant and present but not obtrusive.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,copper","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,asymmetry",https://i.etsystatic.com/10630809/r/il/2f0204/722630266/il_fullxfull.722630266_qufc.jpg,https://i.etsystatic.com/10630809/r/il/53c78b/722762107/il_fullxfull.722762107_tsj9.jpg,https://i.etsystatic.com/10630809/r/il/b88603/722629992/il_fullxfull.722629992_5foo.jpg,,,,,,,
"Venus mini in black and copper","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant and present but not obtrusive.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,venus,copper","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability",https://i.etsystatic.com/10630809/r/il/f4a213/720194559/il_fullxfull.720194559_hmkz.jpg,https://i.etsystatic.com/10630809/r/il/6173cb/720193711/il_fullxfull.720193711_tbv8.jpg,https://i.etsystatic.com/10630809/r/il/40954d/720066240/il_fullxfull.720066240_6rhk.jpg,,,,,,,
"Clef in black","These were inspired by the Clef, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant and dark.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric,curls","Metal,steel,black steel,circlip,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,cotter pin,rust",https://i.etsystatic.com/10630809/r/il/05e188/720061626/il_fullxfull.720061626_jbp0.jpg,https://i.etsystatic.com/10630809/r/il/21482b/720188783/il_fullxfull.720188783_gn70.jpg,https://i.etsystatic.com/10630809/r/il/ba4dcf/720188833/il_fullxfull.720188833_gji2.jpg,,,,,,,
"Falling rings in copper","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant, bright, and complex.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Free shipping!  Usually ship next day.",48,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric,copper","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,brass",https://i.etsystatic.com/10630809/r/il/c491dd/738518636/il_fullxfull.738518636_6xk8.jpg,https://i.etsystatic.com/10630809/r/il/38a497/738518778/il_fullxfull.738518778_3nwv.jpg,https://i.etsystatic.com/10630809/r/il/0d79ef/738646357/il_fullxfull.738646357_ov9a.jpg,,,,,,,
"Falling diamond with copper top","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant, bright, and unobtrusive.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Free shipping!  Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric,copper","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,brass",https://i.etsystatic.com/10630809/r/il/90165e/738518030/il_fullxfull.738518030_srqg.jpg,https://i.etsystatic.com/10630809/r/il/6a0ad0/738645695/il_fullxfull.738645695_7gk9.jpg,https://i.etsystatic.com/10630809/r/il/a8a9cf/738518034/il_fullxfull.738518034_c543.jpg,,,,,,,
"Dangling Venus in copper with double curls in brass","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant, bright, and complex.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Free shipping!  Usually ship next day.",58,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric,copper,curls","Metal,copper,steel,black steel,circlip,welding pin,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,brass",https://i.etsystatic.com/10630809/r/il/cde396/738640959/il_fullxfull.738640959_2og7.jpg,https://i.etsystatic.com/10630809/r/il/f968ba/738513426/il_fullxfull.738513426_ei0r.jpg,,,,,,,,
"Dagger with copper top and curls in brass","These were inspired by ancient Venus sculptures, Bladerunner, Mad Max, Firefly, and the Art Deco and Art Nouveau movements.  Upcycled parts used whenever possible.  These are elegant, bright, and unassuming.

I design and build all of this jewelry myself from machine parts that I gather from post industrial sources whenever I can.

Usually ship next day.",38,USD,1,"Jewelry,Earrings,mechanical,industrial,earrings,Bladerunner,Mad_Max,Firefly,Art_Deco,Art_Nouveau,niobium,hypoallergenic,asymmetric,copper,curls","Metal,copper,steel,black steel,circlip,rubber,niobium earwire,magic,a lifetime of practice,dedication,a love of sustainability,brass",https://i.etsystatic.com/10630809/r/il/d3bbe9/738512216/il_fullxfull.738512216_tw0i.jpg,https://i.etsystatic.com/10630809/r/il/91358a/738639755/il_fullxfull.738639755_o599.jpg,https://i.etsystatic.com/10630809/r/il/23ddf5/738639767/il_fullxfull.738639767_t5x6.jpg,,,,,,,
